Store Code,City,District,Region,Latitude,Longitude,,,,,,,,,,,,,
1979,Riyadh,Al-Rawda,Riyadh,24.72991663,46.76705746,,,,,,,,,,,,,
1980,Riyadh,Al-Raed,Riyadh,24.70681091,46.62607891,,,,,,,,,,,,,
9072,Taif,Alwasit,Taif,21.46739135,40.47117294,,,,,,,,,,,,,
1982,Riyadh,Al-Moazer,Riyadh,24.67515556,46.66449366,,,,,,,,,,,,,
1983,Riyadh,Irqah,Riyadh,24.69410967,46.60594636,,,,,,,,,,,,,
9073,Taif,Al-Faisalyah,Taif,21.42077466,40.48716856,,,,,,,,,,,,,
1985,Taif,Al-Siyanah,Taif,21.33817924,40.43913451,,,,,,,,,,,,,
1986,Taif,Al-Seheily,Taif,21.28748234,40.44396941,,,,,,,,,,,,,
1987,Makkah,Al-Iskan,Makkah,21.40060331,39.78433197,,,,,,,,,,,,,
1988,Taif,Al-Ghazali,Taif,21.26527772,40.42876559,,,,,,,,,,,,,
1989,Makkah,Al-Taniem,Makkah,21.4779549,39.7932778,,,,,,,,,,,,,
1990,Dammam,Taibah,Dammam,26.36859681,50.05849954,,,,,,,,,,,,,
1991,Makkah,Al Shoqiyah,Makkah,21.39025059,39.78649464,,,,,,,,,,,,,
1992,Riyadh,Al-Mahdeya,Riyadh,24.64893631,46.50076249,,,,,,,,,,,,,
1993,Makkah,Al-Shraie,Makkah,21.45906846,39.93663834,,,,,,,,,,,,,
1994,Makkah,Al-Awali,Makkah,21.35505595,39.89167928,,,,,,,,,,,,,
9074,Taif,Al-Siyanah,Taif,21.32024203,40.43298929,,,,,,,,,,,,,
9030,Makkah,Al-Umrah Al-Jadidah,Makkah,21.55311783,39.78158692,,,,,,,,,,,,,
1997,Riyadh,Al-Waha,Riyadh,24.73714712,46.70759403,,,,,,,,,,,,,
1998,Jeddah,Al-Naseem,Jeddah,21.51670111,39.22343772,,,,,,,,,,,,,
1999,Makkah,Al-Khansa,Makkah,21.44297648,39.84708364,,,,,,,,,,,,,
1600,Jeddah,Al-Ruwais,Jeddah,21.52532802,39.16968706,,,,,,,,,,,,,
1601,Madina,Prince Naif,Madina,24.43138799,39.58254487,,,,,,,,,,,,,
1602,Jeddah,Al-Bawadi,Jeddah,21.59884549,39.16447318,,,,,,,,,,,,,
1603,Hail,Al-Nuqra,Hail,27.4731828,41.65387492,,,,,,,,,,,,,
1604,Jeddah,Al-Faisaliyyah,Jeddah,21.57214347,39.19012891,,,,,,,,,,,,,
1605,Riyadh,Al-Rabea,Riyadh,24.78816846,46.6503845,,,,,,,,,,,,,
1606,Taif,Al-Gawharah,Taif,21.42690786,40.49755083,,,,,,,,,,,,,
9078,Hail,Al-Matar,Hail,27.49869785,41.6944406,,,,,,,,,,,,,
9079,Sharora,Alfahd,Najran,17.48761378,47.10111843,,,,,,,,,,,,,
9080,Taif,Masmla,Taif,21.46835572,40.49625439,,,,,,,,,,,,,
1610,Jeddah,Al-Sharafyah,Jeddah,21.51845114,39.18893767,,,,,,,,,,,,,
1611,Makkah,Al-Rashidiyyah,Makkah,21.46102253,39.96513131,,,,,,,,,,,,,
1612,Makkah,Ajyad,Makkah,21.42008051,39.82815112,,,,,,,,,,,,,
1613,Riyadh,Hittin ,Riyadh,24.76023648,46.59947584,,,,,,,,,,,,,
1614,Jeddah,Al-Ruwais,Jeddah,21.51884971,39.17016437,,,,,,,,,,,,,
1615,Riyadh,Al-Washaam,Riyadh,24.63763457,46.69758526,,,,,,,,,,,,,
1616,Madina,Al-Arid,Madina,24.47914457,39.64628853,,,,,,,,,,,,,
1617,Madina,Bedaa,Madina,24.47145215,39.60781518,,,,,,,,,,,,,
9081,Taif,Al-Dahas,Taif,21.44721796,40.50909788,,,,,,,,,,,,,
1619,Jeddah,Al-Safa,Jeddah,21.57357201,39.21008298,,,,,,,,,,,,,
9082,Madina,Shoran,Madina,24.42009469,39.59891715,,,,,,,,,,,,,
1621,Bisha,Al-Khozama,Bisha,20.01358451,42.62132966,,,,,,,,,,,,,
1622,Taif,Shihar,Taif,21.26799123,40.41023249,,,,,,,,,,,,,
1623,Yanbu,Al-Rabea,Yanbu,24.07440669,38.10442928,,,,,,,,,,,,,
1624,Taif,Al-Salamah,Taif,21.26077813,40.40883333,,,,,,,,,,,,,
1625,Jeddah,Al-Nazlah Al-Sharqiyah,Jeddah,21.47037309,39.22038742,,,,,,,,,,,,,
1626,Makkah,Al-Umrah Al-Jadidah,Makkah,21.52727002,39.78715844,,,,,,,,,,,,,
9083,Taif,Al-Sadad,Taif,21.22457006,40.41139763,,,,,,,,,,,,,
9084,Bisha,Al-Nakheel,Bisha,20.01338344,42.6069722,,,,,,,,,,,,,
9085,Jeddah,Al-Hamdaniyah,Jeddah,21.75798199,39.20574294,,,,,,,,,,,,,
9086,Taif,Akhbab,Taif,21.22668582,40.37719982,,,,,,,,,,,,,
9088,Taif,Al-Sir,Taif,21.22018898,40.54151819,,,,,,,,,,,,,
9089,Taif,Masarrah,Taif,21.29794963,40.39093815,,,,,,,,,,,,,
9090,Taif,Torba,Taif,21.21419983,41.63083587,,,,,,,,,,,,,
1663,Taif,Al-Sir,Taif,21.20882723,40.58356267,,,,,,,,,,,,,
1666,Al-Makhwah,Al-Khaldyah,Al-Makhwah,19.79035061,41.43429121,,,,,,,,,,,,,
1676,Jeddah,Al-Manar,Jeddah,21.61062884,39.23116911,,,,,,,,,,,,,
1637,Unayzah,Al-Nozha,Unayzah,26.06236009,43.99441622,,,,,,,,,,,,,
1681,Jeddah,Al-Qryniah,Jeddah,21.32733279,39.24736089,,,,,,,,,,,,,
1682,Ranyah,Ranyah,Makkah,21.25105983,42.84516536,,,,,,,,,,,,,
1683,Taif,Kia,Taif,21.05807631,41.00543746,,,,,,,,,,,,,
1684,Abha,Al-Morooj,Abha,18.22360254,42.55604041,,,,,,,,,,,,,
1686,Taif,Ashierah,Taif,21.76534149,40.65871368,,,,,,,,,,,,,
9001,Jeddah,Al-Boghdadyah Al-Gharbiyah,Jeddah,21.49417266,39.17984499,,,,,,,,,,,,,
9002,Jeddah,Al-Qryniah,Jeddah,21.3125769,39.26073091,,,,,,,,,,,,,
9003,Jeddah,Al-Rabwah,Jeddah,21.61219095,39.16995349,,,,,,,,,,,,,
9004,Jeddah,Al-Jamiah,Jeddah,21.48075363,39.25735529,,,,,,,,,,,,,
9005,Riyadh,Al-Fayhaa,Riyadh,24.67527969,46.82120347,,,,,,,,,,,,,
9006,Riyadh,Ishbiliyah,Riyadh,24.78110691,46.77344869,,,,,,,,,,,,,
9008,Jeddah,Al-Safa,Jeddah,21.57334808,39.20228271,,,,,,,,,,,,,
9009,Jeddah,Al-Khalidiyyah,Jeddah,21.57177131,39.13493449,,,,,,,,,,,,,
9011,Jeddah,Al-Hamraa,Jeddah,21.51719537,39.16561493,,,,,,,,,,,,,
9012,Jeddah,Al-Sulaymaniya,Jeddah,21.50870066,39.24693886,,,,,,,,,,,,,
9014,Jeddah,Al-Faisalyah,Jeddah,21.55670168,39.17593758,,,,,,,,,,,,,
9016,Jeddah,Quwaizah,Jeddah,21.49795735,39.28794301,,,,,,,,,,,,,
9017,Jeddah,Al-Safa,Jeddah,21.60478943,39.21135642,,,,,,,,,,,,,
9020,Jeddah,Al-Fayhaa,Jeddah,21.48977686,39.22290667,,,,,,,,,,,,,
9022,Jeddah,Al-Naseem,Jeddah,21.51307922,39.22593818,,,,,,,,,,,,,
9023,Jeddah,Al-Waha,Jeddah,21.54766867,39.23922348,,,,,,,,,,,,,
9028,Jeddah,Al-Naseem,Jeddah,21.51696846,39.23148112,,,,,,,,,,,,,
1660,Taif,Al-Hawiyah,Taif,21.44299092,40.48472756,,,,,,,,,,,,,
1661,Taif,Al-Sir,Taif,21.21098827,40.57507362,,,,,,,,,,,,,
9060,Madina,Al-Shoraybat,Madina,24.45143529,39.64577844,,,,,,,,,,,,,
1631,Madina,Al-Iskan,Madina,24.45744499,39.64188622,,,,,,,,,,,,,
9034,Jeddah,Al-Shati,Jeddah,21.55915078,39.11618902,,,,,,,,,,,,,
9041,Jeddah,Al-Hamraa,Jeddah,21.52070156,39.15806275,,,,,,,,,,,,,
9045,Jeddah,Al-Murjan,Jeddah,21.68757768,39.10718732,,,,,,,,,,,,,
9046,Jeddah,Taiba,Jeddah,21.79479806,39.13446825,,,,,,,,,,,,,
9047,Jeddah,Al-Murjan,Jeddah,21.69313216,39.10489502,,,,,,,,,,,,,
9052,Jeddah,Madaen Al-Fahd,Jeddah,21.46769041,39.22603142,,,,,,,,,,,,,
9054,Jeddah,Taiba,Jeddah,21.80622486,39.15041613,,,,,,,,,,,,,
9057,Jeddah,Al-Ajwad,Jeddah,21.59830969,39.25021864,,,,,,,,,,,,,
9058,Jeddah,Quwaizah,Jeddah,21.49668607,39.26569569,,,,,,,,,,,,,
1667,Taif,Riha,Taif,21.45824323,40.45908181,,,,,,,,,,,,,
1668,Al-Baha,Al-Azhar,Al-Baha,20.07386647,41.44850979,,,,,,,,,,,,,
1669,Khamis Meshiet,Al-Risras,Khamis Meshiet,18.25642605,42.78424122,,,,,,,,,,,,,
